m,asz,bsz,range,cap_tightness,mode,ms,out_sz,prod
16,64,64,200,0,sort,7.1054,4096,4096
16,64,64,200,0,hash,5.3472,4096,4096
16,64,64,200,25,sort,4.786,2818,4096
16,64,64,200,25,hash,3.8989,2818,4096
16,64,64,200,50,sort,0.4007,51,4096
16,64,64,200,50,hash,0.3856,51,4096
16,64,64,200,75,sort,0.0955,0,4096
16,64,64,200,75,hash,0.1072,0,4096
16,128,128,200,0,sort,33.0776,16384,16384
16,128,128,200,0,hash,43.3295,16384,16384
16,128,128,200,25,sort,26.519,13227,16384
16,128,128,200,25,hash,38.4948,13227,16384
16,128,128,200,50,sort,2.3586,302,16384
16,128,128,200,50,hash,8.0779,302,16384
16,128,128,200,75,sort,0.3963,0,16384
16,128,128,200,75,hash,0.8706,0,16384
16,256,256,200,0,sort,160.002,65536,65536
16,256,256,200,0,hash,175.021,65536,65536
16,256,256,200,25,sort,135.049,52867,65536
16,256,256,200,25,hash,176.144,52867,65536
16,256,256,200,50,sort,11.8907,919,65536
16,256,256,200,50,hash,35.1529,919,65536
16,256,256,200,75,sort,1.8472,0,65536
16,256,256,200,75,hash,3.0015,0,65536
16,512,512,200,0,sort,814.087,262144,262144
16,512,512,200,0,hash,825.318,262144,262144
16,512,512,200,25,sort,681.621,223729,262144
16,512,512,200,25,hash,762.944,223729,262144
16,512,512,200,50,sort,45.007,5354,262144
16,512,512,200,50,hash,141.237,5354,262144
16,512,512,200,75,sort,8.7185,0,262144
16,512,512,200,75,hash,11.608,0,262144
16,1024,1024,200,0,sort,3950.32,1048576,1048576
16,1024,1024,200,0,hash,4975.26,1048576,1048576
16,1024,1024,200,25,sort,4267.99,831092,1048576
16,1024,1024,200,25,hash,4257.68,831092,1048576
16,1024,1024,200,50,sort,227.799,11550,1048576
16,1024,1024,200,50,hash,499.849,11550,1048576
16,1024,1024,200,75,sort,36.9409,0,1048576
16,1024,1024,200,75,hash,47.3346,0,1048576
