m,n,dup,mode,ms,out_n
8,64,0.00,sort,0.002,64
8,64,0.00,absl,0.003,64
8,128,0.00,sort,0.005,128
8,128,0.00,absl,0.035,128
8,256,0.00,sort,0.013,256
8,256,0.00,absl,0.055,256
8,512,0.00,sort,0.049,512
8,512,0.00,absl,0.092,512
8,1024,0.00,sort,0.115,1024
8,1024,0.00,absl,0.181,1024
8,2048,0.00,sort,0.181,2048
8,2048,0.00,absl,0.150,2048
8,4096,0.00,sort,0.397,4096
8,4096,0.00,absl,0.663,4096
8,8192,0.00,sort,1.030,8192
8,8192,0.00,absl,1.264,8192
8,16384,0.00,sort,2.084,16384
8,16384,0.00,absl,3.063,16384
8,64,0.05,sort,0.006,64
8,64,0.05,absl,0.021,64
8,128,0.05,sort,0.007,121
8,128,0.05,absl,0.038,121
8,256,0.05,sort,0.030,238
8,256,0.05,absl,0.076,238
8,512,0.05,sort,0.062,474
8,512,0.05,absl,0.097,474
8,1024,0.05,sort,0.097,964
8,1024,0.05,absl,0.152,964
8,2048,0.05,sort,0.168,1947
8,2048,0.05,absl,0.112,1947
8,4096,0.05,sort,0.376,3879
8,4096,0.05,absl,0.634,3879
8,8192,0.05,sort,0.828,7765
8,8192,0.05,absl,1.137,7765
8,16384,0.05,sort,2.204,15601
8,16384,0.05,absl,2.801,15601
8,64,0.20,sort,0.006,55
8,64,0.20,absl,0.020,55
8,128,0.20,sort,0.008,100
8,128,0.20,absl,0.035,100
8,256,0.20,sort,0.028,207
8,256,0.20,absl,0.073,207
8,512,0.20,sort,0.061,408
8,512,0.20,absl,0.146,408
8,1024,0.20,sort,0.096,813
8,1024,0.20,absl,0.151,813
8,2048,0.20,sort,0.167,1628
8,2048,0.20,absl,0.118,1628
8,4096,0.20,sort,0.372,3251
8,4096,0.20,absl,0.615,3251
8,8192,0.20,sort,0.842,6625
8,8192,0.20,absl,1.298,6625
8,16384,0.20,sort,2.147,13046
8,16384,0.20,absl,2.810,13046
8,64,0.50,sort,0.007,29
8,64,0.50,absl,0.019,29
8,128,0.50,sort,0.007,66
8,128,0.50,absl,0.033,66
8,256,0.50,sort,0.026,123
8,256,0.50,absl,0.060,123
8,512,0.50,sort,0.048,258
8,512,0.50,absl,0.077,258
8,1024,0.50,sort,0.093,529
8,1024,0.50,absl,0.144,529
8,2048,0.50,sort,0.155,1025
8,2048,0.50,absl,0.123,1025
8,4096,0.50,sort,0.342,1986
8,4096,0.50,absl,0.565,1986
8,8192,0.50,sort,0.836,4161
8,8192,0.50,absl,1.151,4161
8,16384,0.50,sort,2.096,8237
8,16384,0.50,absl,2.696,8237
8,64,0.80,sort,0.003,13
8,64,0.80,absl,0.011,13
8,128,0.80,sort,0.003,26
8,128,0.80,absl,0.018,26
8,256,0.80,sort,0.014,47
8,256,0.80,absl,0.038,47
8,512,0.80,sort,0.030,92
8,512,0.80,absl,0.067,92
8,1024,0.80,sort,0.069,218
8,1024,0.80,absl,0.142,218
8,2048,0.80,sort,0.093,410
8,2048,0.80,absl,0.140,410
8,4096,0.80,sort,0.255,810
8,4096,0.80,absl,0.499,810
8,8192,0.80,sort,0.593,1756
8,8192,0.80,absl,1.102,1756
8,16384,0.80,sort,1.789,3336
8,16384,0.80,absl,2.403,3336
12,64,0.00,sort,0.005,64
12,64,0.00,absl,0.021,64
12,128,0.00,sort,0.008,128
12,128,0.00,absl,0.036,128
12,256,0.00,sort,0.029,256
12,256,0.00,absl,0.079,256
12,512,0.00,sort,0.061,512
12,512,0.00,absl,0.152,512
12,1024,0.00,sort,0.096,1024
12,1024,0.00,absl,0.167,1024
12,2048,0.00,sort,0.167,2048
12,2048,0.00,absl,0.137,2048
12,4096,0.00,sort,0.368,4096
12,4096,0.00,absl,0.650,4096
12,8192,0.00,sort,0.854,8192
12,8192,0.00,absl,1.163,8192
12,16384,0.00,sort,2.102,16384
12,16384,0.00,absl,3.127,16384
12,64,0.05,sort,0.006,63
12,64,0.05,absl,0.021,63
12,128,0.05,sort,0.007,120
12,128,0.05,absl,0.037,120
12,256,0.05,sort,0.029,245
